PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2020,40,1.09211,1.08024,2454,5091,X,4715,2362,1844,16466,3246,1524289
National,X,2020,41,1.21201,1.19451,2558,6023,X,5239,3004,2320,19144,3318,1602667
National,X,2020,42,1.11151,1.09796,2313,5661,X,4613,2547,2101,17235,3301,1569727
National,X,2020,43,1.18662,1.15393,2454,5850,X,4834,2821,2174,18133,3330,1571417
National,X,2020,44,1.25262,1.18924,2512,6082,X,4916,2752,2292,18554,3421,1560158
National,X,2020,45,1.44427,1.33759,2726,7084,X,5825,3282,2453,21370,3425,1597645
National,X,2020,46,1.48969,1.37845,2776,7677,X,5544,3728,2873,22598,3391,1639379
National,X,2020,47,1.56064,1.43236,2692,7824,X,5342,3956,2895,22709,3334,1585429
National,X,2020,48,1.61944,1.49959,2484,7091,X,4584,3962,3192,21313,3333,1421255
National,X,2020,49,1.57347,1.44967,2597,7682,X,4861,3976,3135,22251,3339,1534905
National,X,2020,50,1.51939,1.42617,2504,7519,X,4692,4067,3321,22103,3358,1549810
National,X,2020,51,1.50599,1.39797,2482,7124,X,4282,3841,3145,20874,3299,1493163
National,X,2020,52,1.55485,1.45725,2323,6627,X,3564,3918,3404,19836,3301,1361197
National,X,2020,53,1.58903,1.53781,2583,7723,X,3933,4516,3668,22423,3280,1458113
National,X,2021,1,1.47519,1.4348,2414,7976,X,4549,4359,3413,22711,3316,1582870
National,X,2021,2,1.28752,1.2606,2297,6396,X,3975,3520,2830,19018,3278,1508647
National,X,2021,3,1.25172,1.21098,2566,5876,X,4056,3310,2542,18350,3315,1515305
National,X,2021,4,1.10177,1.12283,2558,5345,X,3953,2803,2237,16896,3324,1504764
National,X,2021,5,1.16565,1.08237,2636,4995,X,4015,2525,1927,16098,3295,1487296
National,X,2021,6,1.00609,0.975086,2552,4096,X,3730,2129,1572,14079,3246,1443873
National,X,2021,7,0.986101,0.907555,2318,3708,X,3144,1918,1503,12591,3256,1387354
National,X,2021,8,0.864388,0.860857,2543,3839,X,3541,1900,1521,13344,3276,1550083
National,X,2021,9,0.828056,0.842356,2771,3532,X,3540,1810,1347,13000,3278,1543291
National,X,2021,10,0.882103,0.902897,3218,3781,X,3806,1901,1371,14077,3284,1559093
National,X,2021,11,0.908033,0.939382,3514,3936,X,3856,1909,1359,14574,3227,1551445
National,X,2021,12,0.947577,0.96011,3817,4214,X,3915,2054,1354,15354,3201,1599192
National,X,2021,13,0.975225,0.998141,4116,4394,X,4089,2129,1265,15993,3257,1602279
National,X,2021,14,1.06101,1.07796,4731,5048,X,4685,2281,1355,18100,3277,1679101
National,X,2021,15,1.08091,1.1089,5227,5290,X,4907,2358,1383,19165,3282,1728295
National,X,2021,16,1.10326,1.1502,5763,4858,X,5093,2140,1451,19305,3248,1678407
National,X,2021,17,1.13361,1.1834,6326,4810,X,5503,2042,1418,20099,3256,1698411
National,X,2021,18,1.14992,1.20915,6822,4617,X,5401,1802,1288,19930,3227,1648268
National,X,2021,19,1.19092,1.25462,7365,4362,X,5491,1841,1308,20367,3214,1623366
National,X,2021,20,1.24677,1.26333,8352,4421,X,5414,1742,1333,21262,3193,1683010
National,X,2021,21,1.14504,1.19095,7953,3990,X,4967,1590,1175,19675,3141,1652047
National,X,2021,22,1.18454,1.25187,8502,3975,X,4854,1572,1240,20143,3140,1609033
National,X,2021,23,1.12943,1.14521,8096,3692,X,4645,1527,1222,19182,3110,1674977
National,X,2021,24,1.18866,1.18174,8503,3785,X,4594,1508,1189,19579,3068,1656791
National,X,2021,25,1.21202,1.21001,8514,3814,X,4609,1652,1301,19890,3057,1643793
National,X,2021,26,1.21342,1.21283,8369,4003,X,4757,1672,1291,20092,3055,1656615
National,X,2021,27,1.26676,1.32905,8719,4859,X,5309,1976,1508,22371,3055,1683237
National,X,2021,28,1.38728,1.44269,9193,6029,X,5930,2399,1710,25261,3067,1750965
National,X,2021,29,1.6475,1.70926,10371,7958,X,7170,2897,2149,30545,3067,1787028
National,X,2021,30,1.80199,1.91065,11132,9249,X,8572,3614,2628,35195,3050,1842048
National,X,2021,31,1.94952,2.05206,11102,10544,X,8900,4327,2883,37756,3050,1839909
National,X,2021,32,2.03548,2.15548,11264,11226,X,10105,4555,2917,40067,3042,1858843
National,X,2021,33,2.1918,2.30581,11801,11013,X,12275,4739,2893,42721,3029,1852756
National,X,2021,34,2.23897,2.30752,11982,10382,X,13529,4339,2826,43058,3028,1865986
National,X,2021,35,2.26643,2.25253,11745,9557,X,13053,3886,2623,40864,3027,1814136
National,X,2021,36,2.21298,2.21275,11705,9088,X,12250,3733,2645,39421,3021,1781535
National,X,2021,37,2.045,2.00464,11248,7774,X,11578,3289,2304,36193,3059,1805463
National,X,2021,38,1.90124,1.93759,10916,6853,X,11380,2765,2062,33976,3037,1753523
National,X,2021,39,1.8442,1.84367,10133,5627,X,10040,2315,1834,29949,2877,1624427
National,X,2021,40,2.04946,1.96951,13140,7466,X,13154,3201,2574,39535,3501,2007349
National,X,2021,41,1.95317,1.90695,13072,7120,X,11985,2975,2486,37638,3510,1973726
National,X,2021,42,1.92693,1.86187,12500,6458,X,11458,2943,2355,35714,3474,1918176
National,X,2021,43,1.97792,1.89376,12859,6677,X,11888,2853,2362,36639,3509,1934723
National,X,2021,44,2.14051,2.08777,13304,6968,X,14454,2930,2374,40030,3515,1917361
National,X,2021,45,2.26691,2.22941,14565,7836,X,15840,3192,2730,44163,3530,1980931
National,X,2021,46,2.41002,2.35687,14740,8523,X,17358,3639,2816,47076,3526,1997393
